,0
2011-03-08,986276
2011-03-09,986789
2011-03-10,989179
2011-03-11,989179
2011-03-12,988692
2011-03-13,988046
2011-03-14,987189
2011-03-15,988465
2011-03-16,987952
2011-03-17,990784
2011-03-18,990784
2011-03-19,988454
2011-03-20,988454
2011-03-21,983893
2011-03-22,985625
2011-03-23,985263
2011-03-24,986914
2011-03-25,989373
2011-03-26,986939
2011-03-27,986939
2011-03-28,981222
2011-03-29,985902
2011-03-30,985123
2011-03-31,989708
2011-04-01,991100
2011-04-02,992104
2011-04-03,992104
2011-04-04,986508
2011-04-05,986508
2011-04-06,982283
2011-04-07,987203
2011-04-08,987123
2011-04-09,985718
2011-04-10,989572
2011-04-11,987188
2011-04-12,987188
2011-04-13,990263
2011-04-14,991781
2011-04-15,992569
2011-04-16,992836
2011-04-17,994037
2011-04-18,995256
2011-04-19,995256
2011-04-20,992954
2011-04-21,992954
2011-04-22,988351
2011-04-23,989081
2011-04-24,988736
2011-04-25,988368
2011-04-26,987694
2011-04-28,989260
2011-04-29,988206
2011-05-01,990886
2011-05-02,991058
2011-05-03,990166
2011-05-04,993221
2011-05-05,993221
2011-05-06,995888
2011-05-07,995888
2011-05-08,992178
2011-05-10,990882
2011-05-12,992070
2011-05-13,991546
2011-05-15,987642
2011-05-16,987374
2011-05-17,984491
2011-05-18,985676
2011-05-20,982586
2011-05-21,982586
2011-05-22,982013
2011-05-23,982013
2011-05-24,983621
2011-05-25,981663
2011-05-26,979097
2011-05-27,980766
2011-05-29,986018
2011-05-30,986018
2011-05-31,988620
2011-06-01,982498
2011-06-02,979084
2011-06-03,981847
2011-06-04,976200
2011-06-05,988533
2011-06-06,988533
2011-06-08,988143
2011-06-09,984833
2011-06-10,988402
2011-06-11,987344
2011-06-12,988899
2011-06-14,884953
2011-06-15,884953
2011-06-16,884338
2011-06-17,920851
2011-06-19,984557
2011-06-21,983095
2011-06-22,983095
2011-06-23,983822
2011-06-24,983822
2011-06-25,988188
2011-06-26,986832
2011-06-29,971683
2011-06-30,976439
2011-07-01,976439
2011-07-02,992380
2011-07-03,993703
2011-07-05,992282
2011-07-06,993140
2011-07-07,987410
2011-07-08,987410
2011-07-10,987698
2011-07-11,991394
2011-07-13,980963
2011-07-14,982620
2011-07-15,976724
2011-07-16,987670
2011-07-17,987670
2011-07-19,992937
2011-07-20,993554
2011-07-21,990622
2011-07-22,989669
2011-07-23,986213
2011-07-24,986213
2011-07-25,989573
2011-07-26,989573
2011-07-27,988028
2011-07-28,985705
2011-07-31,985464
2011-08-01,992486
2011-08-04,996455
2011-08-05,996754
2011-08-07,991952
2011-08-08,991864
2011-08-09,991864
2011-08-10,997728
2011-08-11,997728
2011-08-12,997085
2011-08-13,998696
2011-08-14,997560
2011-08-16,998714
2011-08-17,999458
2011-08-19,997720
2011-08-20,997907
2011-08-21,995983
2011-08-22,996258
2011-08-23,996436
2011-08-24,997143
2011-08-25,997143
2011-08-26,998522
2011-08-27,998522
2011-08-28,999784
2011-08-29,999749
2011-08-30,999964
2011-09-01,998175
2011-09-02,998956
2011-09-03,998956
2011-09-05,1000642
2011-09-06,1001100
2011-09-08,999253
2011-09-09,998510
