,0
2011-09-01,994989
2011-09-02,995782
2011-09-03,995782
2011-09-05,996350
2011-09-06,995587
2011-09-08,996719
2011-09-09,994801
2011-09-11,992904
2011-09-12,992904
2011-09-13,911256
2011-09-15,916838
2011-09-16,943657
2011-09-17,997977
2011-09-18,996436
2011-09-21,993365
2011-09-23,997735
2011-09-24,997844
2011-09-25,995024
2011-09-26,995024
2011-09-27,991178
2011-09-28,991178
2011-09-29,992442
2011-09-30,994993
2013-04-01,979819
2013-04-02,980632
2013-04-03,980196
2013-04-04,981059
2013-04-05,981988
2013-04-06,982618
2013-04-07,985695
2013-04-08,985164
2013-04-09,985797
2013-04-10,985485
2013-04-11,983013
2013-04-12,982624
2013-04-13,980849
2013-04-14,981599
2013-04-15,981773
2013-04-16,981467
2013-04-17,981510
2013-04-18,980909
2013-04-19,980040
2013-04-20,980925
2013-04-21,982111
2013-04-22,982383
2013-04-23,983555
2013-04-24,984174
2013-04-25,983158
2013-04-26,982721
2013-04-27,982266
2013-04-28,981973
2013-04-29,982277
2013-04-30,983938
2013-05-01,985234
2013-05-02,984504
2013-05-03,984795
2013-05-04,983072
2013-05-05,981206
2013-05-06,981600
2013-05-07,983081
2013-05-08,982611
2013-05-09,982972
2013-05-10,983664
2013-05-11,982180
2013-05-12,983002
2013-05-13,985012
2013-05-14,-32000
2013-05-15,986948
2013-05-16,986185
2013-05-17,985592
2013-05-18,986392
2013-05-19,985138
2013-05-20,985451
2013-05-21,986662
2013-05-22,985358
2013-05-23,987250
2013-05-24,987332
2013-05-25,986165
2013-05-26,987649
2013-05-27,987407
2013-05-28,987858
2013-05-29,988443
2013-05-30,987549
2013-05-31,982850
2013-06-01,978526
2013-06-02,978205
2013-06-03,977867
2013-06-04,981265
2013-06-05,984247
2013-06-06,984015
2013-06-07,984231
2013-06-08,982679
2013-06-09,983959
2013-06-10,985659
2013-06-11,986465
2013-06-12,982273
2013-06-13,982009
2013-06-14,979887
2013-06-15,980401
2013-06-16,985313
2013-06-17,984604
2013-06-18,984625
2013-06-19,983133
2013-06-20,983662
2013-06-21,983429
2013-06-22,981968
2013-06-23,977164
2013-06-24,974916
2013-06-25,975948
2013-06-26,977327
2013-06-27,981488
2013-06-28,980822
2013-06-29,976629
2013-06-30,974804
2013-07-01,975364
2013-07-02,975829
2013-07-03,976382
2013-07-04,973660
2013-07-05,971684
2013-07-06,972331
2013-07-07,967828
2013-07-08,966888
2013-07-09,964906
2013-07-10,966445
2013-07-11,971222
2013-07-12,975728
2013-07-13,974277
2013-07-14,973853
2013-07-15,975034
2013-07-16,975740
2013-07-17,981996
2013-07-18,983787
2013-07-19,986312
2013-07-20,986750
2013-07-21,987237
2013-07-22,984726
2013-07-23,975203
2013-07-24,972447
2013-07-25,971465
2013-07-26,973426
2013-07-27,980279
2013-07-28,981493
2013-07-29,979700
2013-07-30,978974
2013-07-31,978361
2013-08-01,980118
2013-08-02,983077
2013-08-03,982479
2013-08-04,984003
2013-08-05,980538
2013-08-06,978478
2013-08-07,976892
2013-08-08,977275
2013-08-09,980021
2013-08-10,979856
2013-08-11,982173
2013-08-12,981822
2013-08-13,980701
2013-08-14,978461
2013-08-15,978662
2013-08-16,977482
2013-08-17,979305
2013-08-18,982360
2013-08-19,982554
2013-08-20,984587
2013-08-21,982347
2013-08-22,983203
2013-08-23,981674
2013-08-24,977357
2013-08-25,978575
2013-08-26,973288
2013-08-27,976413
2013-08-28,977663
2013-08-29,979562
2013-08-30,983254
2013-08-31,982281
2013-09-01,982612
2013-09-02,979353
2013-09-03,978305
2013-09-04,976832
2013-09-05,962992
2013-09-06,961819
2013-09-07,963656
2013-09-08,963505
2013-09-09,978937
2013-09-10,981114
2013-09-11,979961
2013-09-12,980332
2013-09-13,978742
2013-09-14,982806
2013-09-15,983052
2013-09-16,979325
2013-09-17,980002
2013-09-18,975427
2013-09-19,976146
2013-09-20,979381
2013-09-21,981464
2013-09-22,981968
2013-09-23,981893
2013-09-24,981012
2013-09-25,980410
2013-09-26,981718
2013-09-27,982279
2013-09-28,986304
2013-09-29,986246
2013-09-30,985655
2013-10-01,984250
2013-10-02,982691
2013-10-03,982065
2013-10-04,980601
2013-10-05,982196
2013-10-06,981559
2013-10-07,984526
2013-10-08,985099
2013-10-09,986693
2013-10-10,984445
2013-10-11,982548
2013-10-12,984125
2013-10-13,981579
2013-10-14,985849
2013-10-15,984956
2013-10-16,984243
2013-10-17,984282
2013-10-18,984210
2013-10-19,984849
2013-10-20,985010
2013-10-21,986464
2013-10-22,984303
2013-10-23,986611
2013-10-24,985722
2013-10-25,984802
2013-10-26,984579
2013-10-27,982123
2013-10-28,981402
2013-10-29,981207
2013-10-30,982859
2013-10-31,981383
2013-11-01,985421
2013-11-02,985029
2013-11-03,985891
2013-11-04,987090
2013-11-05,984663
2013-11-06,985777
2013-11-07,983542
2013-11-08,985060
2013-11-09,985068
2013-11-10,984714
2013-11-11,984476
2013-11-12,983249
2013-11-13,984126
2013-11-14,984306
2013-11-15,986696
2013-11-16,986649
2013-11-17,986030
2013-11-18,985402
2013-11-19,985219
2013-11-20,984118
2013-11-21,985489
2013-11-22,986540
2013-11-23,985047
2013-11-24,987074
2013-11-25,985754
2013-11-26,987427
2013-11-27,987539
2013-11-28,987840
2013-11-29,988413
2013-11-30,985748
2013-12-01,986368
2013-12-02,984982
2013-12-03,985065
2013-12-04,984390
2013-12-05,983684
2013-12-06,983318
2013-12-07,982895
2013-12-08,985260
2013-12-09,985825
2013-12-10,987558
2013-12-11,988412
