date,value
10/27/2003,957207
10/28/2003,967210
10/29/2003,967210
10/30/2003,977581
10/31/2003,977581
11/1/2003,-32000
11/2/2003,-32000
11/3/2003,-32000
11/4/2003,-32000
11/5/2003,-32000
11/6/2003,-32000
11/7/2003,-32000
11/8/2003,968057
11/9/2003,971576
11/10/2003,971576
11/11/2003,968356
11/12/2003,966675
11/13/2003,963862
11/14/2003,963862
11/15/2003,969646
11/16/2003,968898
11/17/2003,969854
11/18/2003,968956
11/19/2003,968628
11/20/2003,968431
11/21/2003,966042
11/22/2003,971161
11/23/2003,971161
11/24/2003,973931
11/25/2003,972092
11/26/2003,969216
11/27/2003,971118
11/28/2003,970070
11/29/2003,974511
11/30/2003,974511
12/1/2003,976753
12/2/2003,974418
12/3/2003,972128
12/4/2003,969084
12/5/2003,965471
12/6/2003,969436
12/7/2003,969683
12/8/2003,978768
12/9/2003,978768
12/10/2003,974191
12/11/2003,972352
12/12/2003,969598
12/13/2003,970519
12/14/2003,971342
12/15/2003,969897
12/16/2003,969897
12/17/2003,970927
12/18/2003,970989
12/19/2003,973378
12/20/2003,972278
12/21/2003,971783
12/22/2003,971411
12/23/2003,969150
12/24/2003,971630
12/25/2003,971630
12/26/2003,977487
12/27/2003,976350
12/28/2003,976819
12/29/2003,974993
12/30/2003,971907
12/31/2003,977790
1/1/2004,-32000
1/2/2004,973071
1/3/2004,971496
1/4/2004,973513
1/5/2004,974656
1/6/2004,974760
1/7/2004,978401
1/8/2004,978916
1/9/2004,988127
1/10/2004,988127
1/11/2004,987392
1/12/2004,985325
1/13/2004,981177
1/14/2004,980489
1/15/2004,979503
1/16/2004,978772
1/17/2004,978772
1/18/2004,982138
1/19/2004,979413
1/20/2004,978112
1/21/2004,978153
1/22/2004,976834
1/23/2004,975529
1/24/2004,975247
1/25/2004,974802
1/26/2004,974802
1/27/2004,979167
1/28/2004,977857
1/29/2004,977589
1/30/2004,978151
1/31/2004,976386
2/1/2004,979980
2/2/2004,979980
2/3/2004,980081
2/4/2004,978339
2/5/2004,979349
2/6/2004,979637
2/7/2004,979713
2/8/2004,981492
2/9/2004,980524
2/10/2004,982240
2/11/2004,982240
2/12/2004,981941
2/13/2004,981220
2/14/2004,979641
2/15/2004,980275
2/16/2004,981096
2/17/2004,980679
2/18/2004,980679
2/19/2004,981613
2/20/2004,982113
2/21/2004,983346
2/22/2004,982359
2/23/2004,982002
2/24/2004,981085
2/25/2004,979192
2/26/2004,980812
2/27/2004,980812
2/28/2004,984019
2/29/2004,983266
3/1/2004,983825
3/2/2004,983476
3/3/2004,982247
3/4/2004,982772
3/5/2004,982772
3/7/2004,979949
3/8/2004,981191
3/9/2004,980531
3/10/2004,979123
3/11/2004,980090
3/12/2004,979076
3/13/2004,980378
3/14/2004,980378
3/15/2004,980774
3/16/2004,980231
3/17/2004,979567
3/18/2004,979259
3/19/2004,978964
3/20/2004,982139
3/21/2004,982139
3/22/2004,983060
3/23/2004,982474
3/24/2004,982189
3/25/2004,983914
3/26/2004,984819
3/27/2004,986264
3/28/2004,987217
3/29/2004,986333
3/30/2004,986333
3/31/2004,988044
4/1/2004,988044
4/2/2004,989145
4/4/2004,971851
4/5/2004,978813
4/6/2004,978813
4/7/2004,987453
4/8/2004,986812
4/9/2004,988790
4/10/2004,987429
4/11/2004,986608
4/12/2004,987553
4/13/2004,986084
4/14/2004,989281
4/15/2004,989281
4/16/2004,988691
4/17/2004,986801
4/18/2004,985971
4/19/2004,986247
4/20/2004,985184
4/21/2004,986163
4/22/2004,986163
4/23/2004,988038
4/24/2004,986847
4/25/2004,986984
4/26/2004,986592
4/27/2004,985942
4/28/2004,987103
4/29/2004,986637
4/30/2004,986145
5/1/2004,986145
5/2/2004,985105
5/3/2004,985982
5/4/2004,987627
5/5/2004,986710
5/6/2004,986818
5/7/2004,985266
5/8/2004,985266
5/9/2004,988297
5/10/2004,987600
5/11/2004,987818
5/12/2004,988833
5/13/2004,988341
5/14/2004,988512
5/15/2004,989821
5/16/2004,987225
5/17/2004,987225
5/18/2004,987852
5/19/2004,986201
5/20/2004,986439
5/21/2004,984968
5/22/2004,983610
5/23/2004,985242
5/24/2004,985242
5/25/2004,987324
5/26/2004,986872
5/27/2004,988547
5/28/2004,986988
5/29/2004,985722
5/30/2004,989628
5/31/2004,990071
6/1/2004,991834
6/2/2004,991834
6/3/2004,989022
6/4/2004,989654
6/5/2004,991132
6/6/2004,989198
6/7/2004,987695
6/8/2004,990220
6/9/2004,990220
6/10/2004,907375
6/11/2004,932254
6/12/2004,926912
6/13/2004,949741
6/14/2004,987895
6/15/2004,992026
6/16/2004,990386
6/17/2004,985430
6/18/2004,985430
6/19/2004,980666
6/20/2004,981622
6/21/2004,984124
6/22/2004,984426
6/23/2004,983153
6/24/2004,983139
6/25/2004,983139
6/26/2004,982296
6/27/2004,969400
6/28/2004,971224
6/29/2004,956888
6/30/2004,946653
7/1/2004,959432
7/2/2004,945692
7/3/2004,972963
7/4/2004,972963
7/5/2004,975211
7/6/2004,986839
7/7/2004,993101
7/8/2004,989246
7/9/2004,992633
7/10/2004,962001
7/11/2004,962001
7/12/2004,936026
7/13/2004,950645
7/14/2004,959698
7/15/2004,959866
7/16/2004,969771
7/17/2004,967975
7/18/2004,963970
7/19/2004,976006
7/20/2004,976006
7/21/2004,869582
7/22/2004,900100
7/24/2004,901702
7/25/2004,972005
7/26/2004,996765
7/27/2004,996765
7/28/2004,973064
7/29/2004,970726
7/30/2004,958704
7/31/2004,958117
8/2/2004,958890
8/3/2004,955762
8/4/2004,949345
8/5/2004,949345
8/6/2004,952308
8/7/2004,948430
8/8/2004,948019
8/9/2004,951697
8/10/2004,944160
8/11/2004,959253
8/12/2004,959253
8/13/2004,968928
8/14/2004,971535
8/15/2004,974180
8/16/2004,973431
8/17/2004,972860
8/18/2004,974246
8/19/2004,972449
8/20/2004,973113
8/21/2004,973113
8/22/2004,972929
8/23/2004,971421
8/24/2004,971485
8/25/2004,968310
8/26/2004,964470
8/27/2004,964394
8/28/2004,964394
8/29/2004,956064
8/30/2004,954969
8/31/2004,956191
9/1/2004,957716
9/2/2004,962274
9/3/2004,972175
9/4/2004,970907
9/5/2004,974901
9/6/2004,974901
9/7/2004,969919
9/8/2004,967543
9/9/2004,965667
9/10/2004,972102
9/11/2004,972927
9/12/2004,975350
9/13/2004,975350
9/14/2004,973281
9/15/2004,973656
9/16/2004,970266
9/17/2004,969791
9/18/2004,966264
9/19/2004,962782
9/20/2004,966611
9/21/2004,953599
9/22/2004,953599
9/23/2004,959235
9/24/2004,963255
9/25/2004,972151
9/26/2004,971333
9/27/2004,968283
9/28/2004,969279
9/29/2004,969279
9/30/2004,970159
10/1/2004,967046
10/2/2004,968713
10/3/2004,966774
10/4/2004,965685
10/5/2004,968248
10/6/2004,965034
10/7/2004,974474
10/8/2004,974474
10/9/2004,977665
10/10/2004,973808
10/11/2004,970603
10/12/2004,970956
10/13/2004,968816
10/14/2004,972410
10/15/2004,972410
10/16/2004,975527
10/17/2004,974592
10/18/2004,977195
10/19/2004,977250
10/20/2004,977318
10/21/2004,978136
10/22/2004,975822
10/23/2004,974604
10/24/2004,974604
10/25/2004,979824
10/26/2004,979206
10/27/2004,981518
10/28/2004,981886
10/29/2004,979102
10/30/2004,977463
10/31/2004,977463
11/1/2004,974617
11/2/2004,974028
11/3/2004,977061
11/4/2004,978380
11/5/2004,980174
11/6/2004,981625
11/7/2004,979447
11/8/2004,979248
11/9/2004,979248
11/10/2004,982442
11/11/2004,979575
11/12/2004,980432
11/13/2004,979123
11/14/2004,977061
11/15/2004,983253
11/16/2004,983253
11/17/2004,987873
11/18/2004,984835
11/19/2004,983201
11/20/2004,983201
11/21/2004,978290
11/22/2004,974188
11/23/2004,974188
11/24/2004,978748
11/25/2004,978748
11/26/2004,983203
11/27/2004,981450
11/28/2004,980854
11/29/2004,978599
11/30/2004,975699
12/1/2004,978808
12/2/2004,978808
12/3/2004,982497
12/4/2004,981406
12/5/2004,982822
12/6/2004,980806
12/7/2004,980873
12/8/2004,981838
12/9/2004,979673
12/10/2004,981075
12/11/2004,981075
12/12/2004,980344
12/13/2004,977910
12/14/2004,977122
12/15/2004,980229
12/16/2004,980501
12/17/2004,985832
12/18/2004,985832
12/19/2004,987003
12/20/2004,984294
12/21/2004,983967
12/22/2004,983018
12/23/2004,980977
12/24/2004,984618
12/25/2004,984565
12/26/2004,985955
12/27/2004,985955
12/28/2004,986554
12/29/2004,983760
12/30/2004,984192
12/31/2004,986253
1/1/2005,983848
1/2/2005,986330
1/3/2005,986330
1/4/2005,984065
1/5/2005,983409
1/6/2005,983973
1/7/2005,982835
1/8/2005,982674
1/9/2005,982613
1/10/2005,981482
1/11/2005,984832
1/12/2005,984832
1/13/2005,985177
1/14/2005,982997
1/15/2005,981191
1/16/2005,981297
1/17/2005,980389
1/18/2005,984613
1/19/2005,984613
1/20/2005,986264
1/21/2005,984354
1/22/2005,983819
1/23/2005,983136
1/24/2005,981655
1/25/2005,981586
1/26/2005,979505
1/27/2005,982383
1/28/2005,982383
1/29/2005,984425
1/30/2005,982264
1/31/2005,980687
2/1/2005,981113
2/2/2005,979843
2/3/2005,981463
2/4/2005,981463
2/5/2005,982203
2/6/2005,980822
2/7/2005,981078
2/8/2005,980408
2/9/2005,979631
2/10/2005,980288
2/11/2005,979903
2/12/2005,981735
2/13/2005,981735
2/14/2005,984678
2/15/2005,984684
2/16/2005,984832
2/17/2005,986166
2/18/2005,985722
