,0
2013-11-08,993982
2013-11-09,993724
2013-11-10,993941
2013-11-11,994778
2013-11-12,993959
2013-11-13,994713
2013-11-14,994198
2013-11-15,994542
2013-11-16,995084
2013-11-17,994952
2013-11-18,994844
2013-11-19,994918
2013-11-20,994885
2013-11-21,994833
2013-11-22,994736
2013-11-23,993959
2013-11-24,993207
2013-11-25,992912
2013-11-26,993148
2013-11-27,993305
2013-11-28,993752
2013-11-29,993753
2013-11-30,993623
2013-12-01,993982
2013-12-02,993876
2013-12-03,993746
2013-12-04,994268
2013-12-05,994276
2013-12-06,994693
2013-12-07,994794
2013-12-08,994353
2013-12-09,993735
2013-12-10,993046
2013-12-11,992527
2013-12-12,992229
2013-12-13,991471
2013-12-14,991230
2013-12-15,992237
2013-12-16,991330
2013-12-17,992926
2013-12-18,993382
2013-12-19,993968
2013-12-20,992790
2013-12-21,992527
2013-12-22,992493
2013-12-23,991167
2013-12-24,993723
2013-12-25,992621
2013-12-26,992976
2013-12-27,992816
2013-12-28,992753
2013-12-29,993493
2013-12-30,992894
2013-12-31,993150
2014-01-01,992070
2014-01-02,992698
2014-01-03,991923
2014-01-04,992284
2014-01-05,992657
2014-01-06,992970
2014-01-07,993902
2014-01-08,993374
2014-01-09,993933
2014-01-10,990968
2014-01-11,991822
2014-01-12,991465
2014-01-13,991116
2014-01-14,993089
2014-01-15,992210
2014-01-16,993271
2014-01-17,992355
2014-01-18,993140
2014-01-19,992825
2014-01-20,992163
2014-01-21,993424
2014-01-22,992370
2014-01-23,992640
2014-01-24,992888
2014-01-25,993647
2014-01-26,993029
2014-01-27,993806
2014-01-28,993778
2014-01-29,993256
2014-01-30,994413
2014-01-31,993822
2014-02-01,994049
2014-02-02,992287
2014-02-03,992228
2014-02-04,991290
2014-02-05,990649
2014-02-06,991204
2014-02-07,991163
2014-02-08,992281
2014-02-09,992474
2014-02-10,993241
2014-02-11,992915
2014-02-12,993356
2014-02-13,993092
2014-02-14,993839
2014-02-15,993843
2014-02-16,992814
2014-02-17,993154
2014-02-18,991980
2014-02-19,992776
2014-02-20,992816
2014-02-21,993396
2014-02-22,994051
2014-02-23,993988
2014-02-24,994399
2014-02-25,994014
2014-02-26,993345
2014-02-27,992109
2014-02-28,992202
2014-03-01,991466
2014-03-02,991730
2014-03-03,991078
2014-03-04,990113
2014-03-05,990458
2014-03-06,989253
2014-03-07,990524
2014-03-08,990850
2014-03-09,991052
2014-03-10,991381
2014-03-11,991560
2014-03-12,990908
2014-03-13,990856
2014-03-14,992196
2014-03-15,991701
2014-03-16,993497
2014-03-17,993185
2014-03-18,992769
2014-03-19,992371
2014-03-20,991338
2014-03-21,991896
2014-03-22,990464
2014-03-23,990940
2014-03-24,990321
2014-03-25,989878
2014-03-26,990788
2014-03-27,992262
2014-03-28,992784
2014-03-29,993307
2014-03-30,994125
2014-03-31,991991
2014-04-01,992836
2014-04-02,992075
2014-04-03,991664
2014-04-04,993041
2014-04-05,992044
2014-04-06,992917
2014-04-07,991803
2014-04-08,991330
2014-04-09,989862
2014-04-10,989939
2014-04-11,989839
2014-04-12,990308
2014-04-13,991870
2014-04-14,991078
2014-04-15,992823
2014-04-16,992181
2014-04-17,993156
2014-04-18,993205
2014-04-19,993332
2014-04-20,993337
2014-04-21,992335
2014-04-22,992365
2014-04-23,989190
2014-04-24,989219
2014-04-25,988675
2014-04-26,989121
2014-04-27,990508
2014-04-28,990701
2014-04-29,991625
2014-04-30,992016
2014-05-01,992531
2014-05-02,992576
2014-05-03,993206
2014-05-04,990953
2014-05-05,991852
2014-05-06,990941
2014-05-07,990202
2014-05-08,991966
2014-05-09,991977
2014-05-10,993749
2014-05-11,993168
2014-05-12,994284
2014-05-13,994184
2014-05-14,994419
2014-05-15,996121
2014-05-16,995917
2014-05-17,990067
2014-05-18,988743
2014-05-19,980786
2014-05-20,980676
2014-05-21,987555
2014-05-22,988005
2014-05-23,995171
2014-05-24,994615
2014-05-25,993937
2014-05-26,991816
2014-05-27,988955
2014-05-28,989167
2014-05-29,988655
2014-05-30,990366
2014-05-31,993515
2014-06-01,978999
2014-06-02,976537
2014-06-03,966699
2014-06-04,965295
2014-06-05,974870
2014-06-06,975041
2014-06-07,983031
2014-06-08,983357
2014-06-09,988351
2014-06-10,989676
2014-06-11,991059
2014-06-12,986512
2014-06-13,985475
2014-06-14,984568
2014-06-15,985815
2014-06-16,989992
2014-06-17,990610
2014-06-18,993126
2014-06-19,992208
2014-06-20,995066
2014-06-21,994410
2014-06-22,994526
2014-06-23,995832
2014-06-24,995178
2014-06-25,996354
2014-06-26,996051
2014-06-27,996014
2014-06-28,994392
2014-06-29,994581
2014-06-30,994400
2014-07-01,994322
2014-07-02,995265
2014-07-03,994895
2014-07-04,990434
2014-07-05,985559
2014-07-06,985226
2014-07-07,983538
2014-07-08,987844
2014-07-09,990763
2014-07-10,989454
2014-07-11,991043
2014-07-12,991540
2014-07-13,990651
2014-07-14,991633
2014-07-15,990891
2014-07-16,991572
2014-07-17,992897
2014-07-18,994005
2014-07-19,995187
2014-07-20,991508
2014-07-21,992359
2014-07-22,992671
2014-07-23,992209
2014-07-24,974618
2014-07-25,972637
2014-07-26,970656
2014-07-27,970173
2014-07-28,990578
2014-07-29,993390
2014-07-30,992928
2014-07-31,992760
2014-08-01,990776
2014-08-02,989869
2014-08-03,989891
2014-08-04,990543
2014-08-05,992188
2014-08-06,991532
2014-08-07,991424
2014-08-08,990666
2014-08-09,990334
2014-08-10,991098
2014-08-11,991368
2014-08-12,992203
2014-08-13,986881
2014-08-14,985740
2014-08-15,985868
2014-08-16,985888
2014-08-17,990581
2014-08-18,991085
2014-08-19,991374
2014-08-20,989776
2014-08-21,991026
2014-08-22,989328
2014-08-23,988917
2014-08-24,989701
2014-08-25,989193
2014-08-26,990734
2014-08-27,990812
2014-08-28,991247
2014-08-29,991250
2014-08-30,990945
2014-08-31,990714
2014-09-01,990604
2014-09-02,991171
2014-09-03,990475
2014-09-04,992740
2014-09-05,992680
2014-09-06,992227
2014-09-07,992646
2014-09-08,990839
2014-09-09,0
2014-09-10,991121
2014-09-11,992032
2014-09-12,990478
2014-09-13,991774
2014-09-14,991384
2014-09-15,990777
2014-09-16,991989
2014-09-17,991001
2014-09-18,989851
2014-09-19,990930
2014-09-20,992906
2014-09-21,993192
2014-09-22,994948
2014-09-23,993748
2014-09-24,992078
2014-09-25,992154
2014-09-26,991895
2014-09-27,992395
2014-09-28,993450
2014-09-29,994277
2014-09-30,994077
2014-10-01,992504
2014-10-02,991830
2014-10-03,990987
2014-10-04,990778
2014-10-05,991841
2014-10-06,991185
2014-10-07,990218
2014-10-08,990439
2014-10-09,989558
2014-10-10,989230
2014-10-11,989282
2014-10-12,988615
2014-10-13,991161
2014-10-14,992473
2014-10-15,993659
2014-10-16,993639
2014-10-17,992723
2014-10-18,992067
2014-10-19,992704
2014-10-20,993490
2014-10-21,993792
2014-10-22,995301
2014-10-23,994831
2014-10-24,994871
2014-10-25,994481
2014-10-26,994176
2014-10-27,993793
2014-10-28,993861
2014-10-29,993279
2014-10-30,990252
2014-10-31,990012
2014-11-01,986029
2014-11-02,987624
2014-11-03,988748
2014-11-04,989696
2014-11-05,992504
2014-11-06,992514
2014-11-07,993602
2014-11-08,992447
2014-11-09,993740
2014-11-10,992722
2014-11-11,993458
2014-11-12,993710
2014-11-13,992348
2014-11-14,993013
2014-11-15,992393
2014-11-16,990995
2014-11-17,991189
2014-11-18,991446
2014-11-19,990897
2014-11-20,993287
2014-11-21,994086
2014-11-22,994308
2014-11-23,995817
2014-11-24,995369
2014-11-25,995165
2014-11-26,994013
2014-11-27,993301
2014-11-28,993315
2014-11-29,993315
2014-11-30,995005
2014-12-01,995184
2014-12-02,994933
2014-12-03,995152
2014-12-04,994384
2014-12-05,994215
2014-12-06,994665
2014-12-07,995008
2014-12-08,994497
2014-12-09,992919
2014-12-10,992704
2014-12-11,991504
2014-12-12,991636
2014-12-13,992805
2014-12-14,991932
2014-12-15,992657
2014-12-16,989888
2014-12-17,989346
2014-12-18,990406
2014-12-19,989610
2014-12-20,992083
2014-12-21,992310
2014-12-22,992262
2014-12-23,991803
2014-12-24,991329
2014-12-25,992566
2014-12-26,991968
2014-12-27,993230
2014-12-28,992391
2014-12-29,991747
2014-12-30,990550
2014-12-31,989895
2015-01-01,991098
2015-01-02,990382
2015-01-03,992139
2015-01-04,992202
2015-01-05,991822
2015-01-06,991918
2015-01-07,991780
2015-01-08,992271
2015-01-09,992451
2015-01-10,992604
2015-01-11,991650
2015-01-12,991208
2015-01-13,990936
2015-01-14,991313
2015-01-15,991054
2015-01-16,991403
2015-01-17,991829
2015-01-18,990341
2015-01-19,991767
2015-01-20,990942
2015-01-21,990622
2015-01-22,991079
2015-01-23,990330
2015-01-24,991142
2015-01-25,992036
2015-01-26,992320
2015-01-27,992334
2015-01-28,992289
2015-01-29,990455
2015-01-30,991094
2015-01-31,990883
2015-02-01,990547
2015-02-02,991470
2015-02-03,990873
2015-02-04,991610
2015-02-05,991527
2015-02-06,992334
2015-02-07,991881
2015-02-08,991348
2015-02-09,991072
2015-02-10,990784
2015-02-11,991449
2015-02-12,991639
2015-02-13,992352
2015-02-14,992589
2015-02-15,993792
2015-02-16,993642
2015-02-17,993826
2015-02-18,993393
2015-02-19,992873
2015-02-20,993872
2015-02-21,993881
2015-02-22,994291
2015-02-23,993432
2015-02-24,992896
2015-02-25,991560
2015-02-26,991778
2015-02-27,992602
2015-02-28,992030
2015-03-01,993251
2015-03-02,990956
2015-03-03,991023
2015-03-04,990204
2015-03-05,990093
