date,value
1/4/2004,978958
1/5/2004,978725
1/6/2004,976807
1/7/2004,975322
1/8/2004,974909
1/9/2004,978839
1/10/2004,978839
1/11/2004,981450
1/12/2004,979357
1/13/2004,978958
1/14/2004,980526
1/15/2004,980997
1/16/2004,983753
1/17/2004,983679
1/18/2004,980487
1/19/2004,980487
1/20/2004,979510
1/21/2004,978256
1/22/2004,978114
1/23/2004,977078
1/24/2004,975246
1/25/2004,976956
1/26/2004,976956
1/27/2004,979375
1/28/2004,979086
1/29/2004,979380
1/30/2004,979716
1/31/2004,979576
2/1/2004,979437
2/2/2004,979334
2/3/2004,978870
2/4/2004,978870
2/5/2004,978440
2/6/2004,977247
2/7/2004,976036
2/8/2004,976431
2/9/2004,976566
2/10/2004,979872
2/11/2004,979872
2/12/2004,982068
2/13/2004,981897
2/14/2004,981918
2/15/2004,982628
2/16/2004,982528
2/17/2004,981023
2/18/2004,980539
2/19/2004,981486
2/20/2004,981486
2/21/2004,984733
2/22/2004,983079
2/23/2004,983270
2/24/2004,981673
2/25/2004,979162
2/26/2004,978466
2/27/2004,978466
2/28/2004,982595
2/29/2004,982153
3/1/2004,984338
3/2/2004,983651
3/3/2004,982816
3/4/2004,982654
3/5/2004,980238
3/7/2004,979851
3/8/2004,981827
3/9/2004,980729
3/10/2004,981511
3/11/2004,981531
3/12/2004,979682
3/13/2004,982937
3/14/2004,982937
3/15/2004,985582
3/16/2004,985201
3/17/2004,985681
3/18/2004,984626
3/19/2004,983308
3/20/2004,983286
3/21/2004,982700
3/22/2004,984099
3/23/2004,984099
3/24/2004,986114
3/25/2004,986233
3/26/2004,986841
3/27/2004,986501
3/28/2004,985255
3/29/2004,984670
3/30/2004,984670
3/31/2004,986773
4/1/2004,986773
4/2/2004,990237
4/4/2004,989552
4/5/2004,987257
4/6/2004,985121
4/7/2004,982506
4/8/2004,982506
4/9/2004,983648
4/10/2004,982385
4/11/2004,981184
4/12/2004,982811
4/13/2004,983268
4/14/2004,987194
4/15/2004,987194
4/16/2004,988885
4/17/2004,988725
4/18/2004,988485
4/19/2004,987624
4/20/2004,986695
4/21/2004,983962
4/22/2004,981873
4/23/2004,981959
4/24/2004,981959
4/25/2004,983744
4/26/2004,984968
4/27/2004,984514
4/28/2004,985424
4/29/2004,987767
4/30/2004,988938
5/1/2004,988938
5/2/2004,988030
5/3/2004,986695
5/4/2004,985552
5/5/2004,985748
5/6/2004,985044
5/7/2004,984534
5/8/2004,983403
5/9/2004,983863
5/10/2004,983863
5/11/2004,987917
5/12/2004,985393
5/13/2004,983494
5/14/2004,985347
5/15/2004,984206
5/16/2004,988626
5/17/2004,988626
5/18/2004,988623
5/19/2004,988494
5/20/2004,988149
5/21/2004,987716
5/22/2004,987471
5/23/2004,987540
5/24/2004,987220
5/25/2004,988035
5/26/2004,988035
5/27/2004,985350
5/28/2004,989004
5/29/2004,987987
5/30/2004,989833
5/31/2004,993834
6/1/2004,986813
6/2/2004,986813
6/3/2004,986198
6/4/2004,986955
6/5/2004,988427
6/6/2004,990515
6/7/2004,988525
6/8/2004,981353
6/9/2004,980882
6/10/2004,955577
6/11/2004,955577
6/12/2004,959934
6/13/2004,962195
6/14/2004,972988
6/15/2004,944135
6/16/2004,924019
6/17/2004,923952
6/18/2004,923952
6/19/2004,965833
6/20/2004,967014
6/21/2004,969757
6/22/2004,970863
6/23/2004,971702
6/24/2004,970757
6/25/2004,970040
6/26/2004,972493
6/27/2004,972493
6/28/2004,971926
6/29/2004,948735
6/30/2004,933806
7/1/2004,948147
7/2/2004,938185
7/3/2004,968720
7/4/2004,968720
7/5/2004,967294
7/6/2004,961714
7/7/2004,965517
7/8/2004,969881
7/9/2004,966803
7/10/2004,972200
7/11/2004,967030
7/12/2004,931546
7/13/2004,931546
7/14/2004,936241
7/15/2004,935282
7/16/2004,953914
7/17/2004,959482
7/18/2004,953366
7/19/2004,976847
7/20/2004,976847
7/21/2004,977294
7/22/2004,971978
7/24/2004,974102
7/25/2004,976544
7/26/2004,980513
7/27/2004,984005
7/28/2004,976185
7/29/2004,976185
7/30/2004,976025
7/31/2004,988621
8/2/2004,981171
8/3/2004,984752
8/4/2004,975212
8/5/2004,975212
8/6/2004,985521
8/7/2004,976684
8/8/2004,974983
8/9/2004,977752
8/10/2004,975996
8/11/2004,987807
8/12/2004,988648
8/13/2004,985102
8/14/2004,985102
8/15/2004,975588
8/16/2004,968809
8/17/2004,965478
8/18/2004,963539
8/19/2004,957495
8/20/2004,974411
8/21/2004,974411
8/22/2004,981938
8/23/2004,983205
8/24/2004,980714
8/25/2004,983317
8/26/2004,985502
8/27/2004,989034
8/28/2004,992521
8/29/2004,989720
8/30/2004,989720
8/31/2004,981777
9/1/2004,976529
9/2/2004,968444
9/3/2004,974702
9/4/2004,970559
9/5/2004,980483
9/6/2004,980483
9/7/2004,977960
9/8/2004,980863
9/9/2004,967012
9/10/2004,970772
9/11/2004,967172
9/12/2004,968405
9/13/2004,983772
9/14/2004,984097
9/15/2004,984097
9/16/2004,968737
9/17/2004,963669
9/18/2004,953127
9/19/2004,961973
9/20/2004,961802
9/21/2004,978429
9/22/2004,978429
9/23/2004,984782
9/24/2004,985201
9/25/2004,985798
9/26/2004,985405
9/27/2004,984000
9/28/2004,981343
9/29/2004,981419
9/30/2004,979893
10/1/2004,979893
10/2/2004,981820
10/3/2004,985151
10/4/2004,987242
10/5/2004,985434
10/6/2004,986450
10/7/2004,980679
10/8/2004,980679
10/9/2004,982615
10/10/2004,981596
10/11/2004,981502
10/12/2004,981990
10/13/2004,981822
10/14/2004,976864
10/15/2004,974273
10/16/2004,970253
10/17/2004,970253
10/18/2004,979671
10/19/2004,981133
10/20/2004,983684
10/21/2004,981141
10/22/2004,980418
10/23/2004,980178
10/24/2004,980178
10/25/2004,986649
10/26/2004,985953
10/27/2004,983916
10/28/2004,984810
10/29/2004,983921
10/30/2004,982373
10/31/2004,983985
11/1/2004,979316
11/2/2004,979316
11/3/2004,981579
11/4/2004,981566
11/5/2004,983678
11/6/2004,983796
11/7/2004,982540
11/8/2004,987191
11/9/2004,987191
11/10/2004,988344
